SQL_Name,Export_Name,Path,Content,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13
der2_cRefset_AssociationDelta_1000230_,der2_cRefset_AssociationUKPCDelta_1000230_,Delta/Refset/Content,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,targetComponentId,,,,,,
der2_cRefset_AttributeValueDelta_1000230_,der2_cRefset_AttributeValueUKPCDelta_1000230_,Delta/Refset/Content,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,valueId,,,,,,
der2_Refset_SimpleDelta_1000230_,der2_Refset_SimpleUKPCDelta_1000230_,Delta/Refset/Content,Populated,,,,,,,,,,,,,
der2_cRefset_LanguageDelta-en_1000230_,der2_cRefset_LanguageUKPCDelta-en_1000230_,Delta/Refset/Language,Populated,,,,,,,,,,,,,
der2_iisssccRefset_ExtendedMapDelta_1000230_,der2_iisssccRefset_ExtendedMapUKPCDelta_1000230_,Delta/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapGroup,mapPriority,mapRule,mapAdvice,mapTarget,correlationId,mapCategoryId
der2_iisssciRefset_ExtendedMapDelta_1000230_,der2_iisssciRefset_ExtendedMapUKPCDelta_1000230_,Delta/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapGroup,mapPriority,mapRule,mapAdvice,mapTarget,correlationId,mapBlock
der2_sRefset_SimpleMapDelta_1000230_,der2_sRefset_SimpleMapUKPCDelta_1000230_,Delta/Refset/Map,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mapTarget,,,,,,
der2_cciRefset_RefsetDescriptorDelta_1000230_,der2_cciRefset_RefsetDescriptorUKPCDelta_1000230_,Delta/Refset/Metadata,Populated,,,,,,,,,,,,,
der2_ciRefset_DescriptionTypeDelta_1000230_,der2_ciRefset_DescriptionTypeUKPCDelta_1000230_,Delta/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,descriptionFormat,descriptionLength,,,,,
der2_cissccRefset_MRCMAttributeDomainDelta_1000230_,der2_cissccRefset_MRCMAttributeDomainUKPCDelta_1000230_,Delta/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,domainId,grouped,attributeCardinality,attributeInGroupCardinality,ruleStrengthId,contentTypeId,
der2_cRefset_MRCMModuleScopeDelta_1000230_,der2_cRefset_MRCMModuleScopeUKPCDelta_1000230_,Delta/Refset/Metadata,Empty,id,effectiveTime,active,moduleId,refsetId,referencedComponentId,mrcmRuleRefsetId,,,,,,
